frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
142,0.3926,,model,0.4034,1.0000,
143,0.3896,,flow,0.1947,0.9861,
144,0.4018,,flow,0.1942,0.9647,
145,0.3940,,flow,0.2087,0.9631,
146,0.4020,,model,0.3940,1.0000,
147,0.3961,,flow,0.2089,0.9856,
148,0.4022,,model,0.3911,1.0000,
149,0.3953,,flow,0.2089,0.9909,
150,0.3917,,flow,0.2085,0.9767,
151,0.3935,,flow,0.2089,0.9753,
152,0.4028,,flow,0.2089,0.9601,
153,0.3910,,model,0.4012,1.0000,
154,0.4003,,flow,0.2086,0.9787,
155,0.3962,,flow,0.2085,0.9688,
156,0.4040,,flow,0.2086,0.9605,
157,0.4022,,flow,0.2089,0.9529,
158,0.4038,,model,0.3901,1.0000,
159,0.3947,,flow,0.2086,0.9869,
160,0.4020,,model,0.4034,1.0000,
161,0.3985,,flow,0.2090,0.9873,
162,0.4053,,flow,0.2089,0.9545,
163,0.4080,,flow,0.2094,0.9534,
164,0.4068,,model,0.4046,1.0000,
165,0.3960,,flow,0.2093,0.9901,
166,0.3970,,model,0.4030,1.0000,
167,0.3964,,flow,0.2092,0.9851,
168,0.4020,,flow,0.2090,0.9621,
169,0.3965,,flow,0.2093,0.9586,
170,0.4040,,model,0.4057,1.0000,
171,0.3948,,flow,0.2089,0.9919,
172,0.3920,,model,0.3922,1.0000,
173,0.3944,,flow,0.2089,0.9912,
174,0.3933,,model,0.4038,1.0000,
175,0.4069,,flow,0.2094,0.9915,
176,0.4101,,model,0.4051,1.0000,
177,0.3979,,flow,0.1909,0.9806,
178,0.3962,,model,0.4033,1.0000,
179,0.3932,,flow,0.1909,0.9748,
180,0.4005,,model,0.3931,1.0000,
181,0.4025,,flow,0.1908,0.9759,
182,0.3948,,flow,0.1907,0.9571,
183,0.4061,,flow,0.1908,0.9537,
184,0.4060,,model,0.4056,1.0000,
185,0.3949,,flow,0.1913,0.9860,
186,0.3974,,flow,0.1914,0.9557,
187,0.4074,,flow,0.1912,0.9519,
188,0.4066,,model,0.4061,1.0000,
189,0.4076,,flow,0.1909,0.9931,
190,0.3956,,flow,0.1908,0.9507,
191,0.3961,,model,0.3958,1.0000,
192,0.3967,,flow,0.1913,0.9787,
193,0.3959,,flow,0.1958,0.9778,
194,0.3945,,flow,0.1964,0.9566,
195,0.4077,,model,0.4046,1.0000,
196,0.4044,,flow,0.1959,0.9638,
197,0.3954,,flow,0.1959,0.9569,
198,0.3968,,model,0.3964,1.0000,
199,0.3968,,flow,0.1964,0.9821,
200,0.4019,0.8580,flow,0.1959,0.9608,0.8625
201,0.4106,,flow,0.1964,0.9595,
202,0.4079,,model,0.4148,1.0000,
203,0.3991,,flow,0.1960,0.9849,
204,0.3952,,flow,0.1964,0.9634,
205,0.3965,,flow,0.1959,0.9573,
206,0.4029,,flow,0.1959,0.9516,
207,0.4066,,model,0.4067,1.0000,
208,0.4080,,flow,0.1959,0.9756,
209,0.4052,,flow,0.1937,0.9734,
210,0.3998,,flow,0.1941,0.9523,
211,0.4056,,model,0.4018,1.0000,
212,0.4044,,flow,0.1939,0.9677,
213,0.3966,,flow,0.1944,0.9648,
214,0.4066,,flow,0.1941,0.9629,
215,0.4015,,flow,0.1944,0.9602,
216,0.4090,,flow,0.1939,0.9516,
217,0.4063,,flow,0.1940,0.9512,
