epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,120,,,,0.5434049367904663,0.7155632376670837,0.2585105895996094
0,120,0.3080424666404724,0.7226980924606323,0.24824970960617065,,,
1,241,,,,0.6730629801750183,0.760543942451477,0.32163354754447937
1,241,0.6302940249443054,0.7916086912155151,0.3443448543548584,,,
2,362,,,,0.5905734896659851,0.74260014295578,0.32061660289764404
2,362,0.6910962462425232,0.8182948231697083,0.38805004954338074,,,
3,483,,,,0.5728538036346436,0.7835802435874939,0.35372719168663025
3,483,0.6448925733566284,0.8301505446434021,0.40979281067848206,,,
4,604,,,,0.5971682667732239,0.7777352929115295,0.36380332708358765
4,604,0.6299467086791992,0.8398706316947937,0.4421893358230591,,,
5,725,,,,0.6164934635162354,0.791054904460907,0.37410640716552734
5,725,0.7277563810348511,0.8472738862037659,0.5032514333724976,,,
6,846,,,,0.5293102264404297,0.7930454015731812,0.39339926838874817
6,846,0.693560004234314,0.8523283004760742,0.5326336026191711,,,
7,967,,,,0.553443968296051,0.7966808676719666,0.40888214111328125
7,967,0.7474309802055359,0.8615625500679016,0.5742080211639404,,,
8,1088,,,,0.5845714211463928,0.8082493543624878,0.4295731782913208
8,1088,0.7727766036987305,0.8663268089294434,0.5971372723579407,,,
9,1209,,,,0.5564267635345459,0.7282274961471558,0.4056956171989441
9,1209,0.7879708409309387,0.8703192472457886,0.6129482388496399,,,
10,1330,,,,0.5923840999603271,0.806260883808136,0.4361848533153534
10,1330,0.7984414100646973,0.8737052083015442,0.6249556541442871,,,
11,1451,,,,0.5985274910926819,0.8089351058006287,0.4393974840641022
11,1451,0.805115818977356,0.8754492402076721,0.6320421695709229,,,
12,1572,,,,0.5977321267127991,0.8077527284622192,0.4417811632156372
12,1572,0.8120076656341553,0.8800160884857178,0.6405119299888611,,,
13,1693,,,,0.604363739490509,0.8157172203063965,0.44664260745048523
13,1693,0.816338300704956,0.8803759217262268,0.6454665660858154,,,
14,1814,,,,0.600513756275177,0.8043732643127441,0.4420202970504761
14,1814,0.8196049928665161,0.882368266582489,0.6493771076202393,,,
15,1935,,,,0.6116527318954468,0.8117159605026245,0.45088547468185425
15,1935,0.7549974918365479,0.8845952749252319,0.6545840501785278,,,
16,2056,,,,0.6107605695724487,0.8091055750846863,0.4509761929512024
16,2056,0.7558885216712952,0.8853839039802551,0.6553223729133606,,,
17,2177,,,,0.60313481092453,0.8024877309799194,0.44392696022987366
17,2177,0.7577267289161682,0.8861412405967712,0.6578517556190491,,,
18,2298,,,,0.6077160239219666,0.8088778853416443,0.4484045207500458
18,2298,0.7588644027709961,0.8872536420822144,0.6593825221061707,,,
19,2419,,,,0.6097849011421204,0.8079522848129272,0.45050355792045593
19,2419,0.7607282400131226,0.887923538684845,0.6620621085166931,,,
